layer,k,format,category,position,n,explained_fraction_mean,explained_fraction_median,explained_fraction_std,explained_fraction_q1,explained_fraction_q3,relative_residual_mean,relative_residual_median,relative_residual_std,relative_residual_q1,relative_residual_q3,target_norm_mean,target_norm_median,target_norm_std,target_norm_q1,target_norm_q3,residual_norm_mean,residual_norm_median,residual_norm_std,residual_norm_q1,residual_norm_q3,coefficient_sum_mean,coefficient_sum_median,coefficient_sum_std,coefficient_sum_q1,coefficient_sum_q3,largest_coefficient_mean,largest_coefficient_median,largest_coefficient_std,largest_coefficient_q1,largest_coefficient_q3,largest_coefficient_share_mean,largest_coefficient_share_median,largest_coefficient_share_std,largest_coefficient_share_q1,largest_coefficient_share_q3,herfindahl_mean,herfindahl_median,herfindahl_std,herfindahl_q1,herfindahl_q3,output_token_inclusion_rate,output_token_share_when_present,output_token_top_rate,active_set_size_mean,n_iterations_mean,residual_decrease_relative_mean,stop_reasons
28,25,plain,all,-2,30,0.0081366221,0.008038193,0.0015779887,0.0070802271,0.0088361651,0.99592307,0.99597278,0.00079252036,0.99557209,0.99645361,123.97523,123.80446,7.5255722,118.73071,128.57464,123.47013,123.26687,7.4995437,118.21103,127.96355,165.06046,166.74372,24.719582,147.71921,177.75543,27.888463,26.727084,7.2902967,24.533994,30.796103,0.16962533,0.16976029,0.039202018,0.14956464,0.18308077,0.084278718,0.081896849,0.016133843,0.071408718,0.094366964,0.13333333,0.080421309,0.033333333,24.133333,24.966667,0.0040769269,max_atoms=29;no_positive_correlation=1
28,25,plain,all,-1,30,0.0098296086,0.0099935234,0.0018655143,0.0082380623,0.01077272,0.99507264,0.99499071,0.00093749883,0.99459901,0.99587248,121.49366,121.9692,9.2966343,114.98072,127.97287,120.89428,121.51683,9.2417715,114.43112,127.36133,196.5008,194.3903,27.341612,175.57064,218.44756,35.949948,36.64558,7.0173438,32.335595,40.484671,0.18773406,0.184096,0.051883951,0.14610039,0.22257439,0.089200554,0.087438843,0.020260718,0.072919889,0.10538097,0.1,0.15967761,0.066666667,24.166667,25,0.004927367,max_atoms=30
35,10,all,all,all,76,0.016787044,0.016836137,0.0044759195,0.01387696,0.019924566,0.99156842,0.99154618,0.0022562548,0.98998758,0.99303727,189.12739,187.59888,15.705999,178.05584,198.55485,187.52417,186.04177,15.471966,176.55737,196.93324,146.26591,145.35613,28.127509,126.45972,164.57699,40.149231,39.263187,11.84486,30.990525,49.702726,0.27873106,0.27601729,0.081676852,0.21259649,0.34501954,0.15026605,0.14389203,0.03390366,0.12178304,0.17120502,0.78947368,0.25569339,0.56578947,10,10,0.0084315779,max_atoms=76
35,10,chat,all,all,16,0.014434297,0.01327768,0.0049955422,0.010614559,0.018235236,0.99275363,0.99333894,0.0025174961,0.99084035,0.99467853,192.16803,190.152,15.520799,180.88982,198.40604,190.77048,189.01609,15.329225,179.57791,197.40604,129.2366,129.53061,26.904791,110.28036,151.83171,37.300947,38.269388,13.416819,25.650237,45.710573,0.28399556,0.27832003,0.07166988,0.21520049,0.32807955,0.15286633,0.14747647,0.030224499,0.12849497,0.16265794,0.3125,0.15473331,0.0625,10,10,0.0072463695,max_atoms=16
35,10,plain,all,all,60,0.017414444,0.017354667,0.0041497865,0.01543273,0.020025626,0.99125237,0.9912847,0.0020922208,0.9899365,0.99225362,188.31656,185.57874,15.784608,176.76518,198.55485,186.65849,184.24769,15.52214,175.83363,196.93324,150.80706,154.29009,26.871148,132.03862,170.05381,40.908773,39.263187,11.392809,32.566272,50.482038,0.27732719,0.27405837,0.084645106,0.20596726,0.34531491,0.14957264,0.14178948,0.03502288,0.12065756,0.17257143,0.91666667,0.26487158,0.7,10,10,0.0087476335,max_atoms=60
35,10,all,all,-2,38,0.017640065,0.019113988,0.0044205178,0.01489903,0.020416334,0.99113828,0.99039692,0.0022291751,0.98973918,0.99252252,184.56977,180.91021,15.532254,172.26257,194.45374,182.92371,179.45929,15.267788,170.7271,192.24218,144.44916,141.13232,27.577439,121.45986,161.77642,42.370504,44.716881,11.189873,36.244397,51.950566,0.29989669,0.30619779,0.084655494,0.25162285,0.34855353,0.1574955,0.15348223,0.037026798,0.13111011,0.17807078,0.86842105,0.27169388,0.63157895,10,10,0.0088617175,max_atoms=38
35,10,all,all,-1,38,0.015934023,0.016427189,0.0044242024,0.012852088,0.018834516,0.99199857,0.99175239,0.0022292807,0.99053799,0.99355319,193.68502,191.67398,14.700551,183.45836,202.54901,192.12464,190.26822,14.444905,181.91529,200.73589,148.08266,154.38728,28.920605,129.97535,167.43994,37.927957,36.853468,12.20841,30.444635,45.76289,0.25756542,0.22946336,0.073727743,0.20888967,0.29732328,0.14303661,0.13191022,0.029182943,0.12105314,0.15689144,0.71052632,0.23613724,0.5,10,10,0.0080014383,max_atoms=38
35,10,all,antonym,all,14,0.015400567,0.015608191,0.0030070036,0.014041334,0.017767891,0.99226876,0.99216521,0.0015147068,0.99107625,0.99295449,189.07966,190.95956,15.697959,177.26957,203.21603,187.6094,189.76929,15.46336,175.99157,201.4385,136.06628,133.58898,18.474367,121.97103,149.05297,46.369036,44.725082,10.842314,39.105043,57.439576,0.33984165,0.35314471,0.058136526,0.31002607,0.38279374,0.17231583,0.17482331,0.026575191,0.15278805,0.19168238,0.85714286,0.28736036,0.71428571,10,10,0.0077312371,max_atoms=14
35,10,all,association,all,12,0.019887318,0.020510942,0.0038967208,0.016104773,0.022417933,0.99000462,0.98969138,0.0019683527,0.98872751,0.99191494,209.00171,211.27563,17.744355,202.94359,218.12845,206.91497,209.21468,17.628613,200.83466,216.08758,175.22748,176.75887,18.67018,170.639,185.04216,43.356773,45.754065,9.2804812,36.199759,51.368068,0.25055864,0.26302663,0.059300583,0.21960086,0.29569549,0.13758486,0.14051248,0.019887208,0.12539732,0.15058913,0.83333333,0.17946243,0.25,10,10,0.0099953791,max_atoms=12
35,10,all,counting,all,10,0.01710484,0.019471735,0.0053701525,0.014560431,0.020892739,0.99140738,0.99021628,0.0027051001,0.98949845,0.99269286,188.0948,189.92403,9.3646942,182.44102,194.91667,186.48673,188.78861,9.4668444,180.72623,192.8281,150.83024,157.75153,34.968176,139.27963,171.73248,35.700686,33.370876,10.490678,30.830389,44.989465,0.24449492,0.22066651,0.077218375,0.18549748,0.30669332,0.13688618,0.12953191,0.025506503,0.11674827,0.1547055,0.8,0.22771982,0.6,10,10,0.0085926264,max_atoms=10
