k,layer_from,layer_to,format,cut,n,mean_delta_explained_fraction,median_delta_explained_fraction,mean_active_set_jaccard,median_active_set_jaccard,mean_weighted_similarity,mean_delta_herfindahl,mean_top1_share_to,mean_persistence_length,output_alignment_rate_to,mean_output_coefficient_share_to
25,28,35,all,category:counting,10,0.0098669112,0.012559801,0.032802151,0.020408163,0.053513913,-0.015153818,0.17476866,0,0.8,0.13821664
25,28,35,all,category:factual,16,0.010332692,0.0094299316,0.017607852,0.010204082,0.050147617,0.002338082,0.21124569,0,0.875,0.17026
25,28,35,all,category:multihop,12,0.0097782314,0.010068238,0.017717782,0.010204082,0.022531995,-0.0023442139,0.21867254,0,0.83333333,0.17708382
25,28,35,all,category:syntactic,12,0.0073929826,0.006300807,0.019398958,0.020408163,0.046038162,-0.0020486275,0.20510564,0,0.75,0.14286469
25,35,38,all,all,76,-0.0020017561,-0.0016308129,0.301936,0.28205128,0.80935043,0.026188188,0.26075201,0.078947368,0.89473684,0.21313458
25,35,38,chat,all,16,-0.0039892606,-0.004234761,0.27330051,0.26923077,0.80328951,0.038264744,0.27410002,0,0.5625,0.065223917
25,35,38,plain,all,60,-0.0014717549,-0.0014292598,0.30957213,0.30263158,0.81096667,0.022967773,0.25719254,0.1,0.98333333,0.25257743
25,35,38,all,-2,38,-0.00091110719,-0.00022336841,0.29280527,0.28205128,0.83268261,0.032344204,0.28726896,0.078947368,0.89473684,0.25671598
25,35,38,all,-1,38,-0.003092405,-0.0032294691,0.31106672,0.31578947,0.78601825,0.020032171,0.23423505,0.078947368,0.89473684,0.16955318
25,35,38,all,category:antonym,14,-0.00011777452,0.00043919683,0.30996304,0.29892038,0.87944129,0.043663239,0.325044,0.071428571,0.92857143,0.25066496
25,35,38,all,category:association,12,-0.005223006,-0.0053941607,0.36928013,0.35135135,0.82644478,0.0094083262,0.19197572,0.16666667,0.83333333,0.14471218
25,35,38,all,category:counting,10,0.00083540082,0.00056308508,0.32314195,0.3031878,0.82228711,0.024926215,0.23506187,0.2,0.9,0.19654964
25,35,38,all,category:factual,16,-0.0047657602,-0.0052092373,0.2907561,0.30263158,0.80252089,0.02138608,0.26424549,0,0.9375,0.22283964
25,35,38,all,category:multihop,12,-0.0017304122,-0.0013462305,0.28171316,0.26602564,0.80894426,0.033978729,0.27552878,0.083333333,0.91666667,0.24269994
25,35,38,all,category:syntactic,12,7.1212649e-05,0.00043404102,0.24268473,0.25320513,0.70921507,0.022244404,0.25649465,0,0.83333333,0.2090869
